question,answer
What is the return policy?,You can return products within 10 days of delivery.
How long is the warranty?,Warranty is valid for 1 year from the date of purchase.
Do you offer free shipping?,"Yes, we offer free shipping on orders above ₹499."
Can I cancel my order?,"Yes, orders can be cancelled before shipping."
Do you have cash on delivery?,"Yes, COD is available on selected items."
What is the shipping time?,Shipping usually takes 3–5 business days.
Can I change my delivery address?,"Yes, you can update the address before the item is shipped."
Do you offer gift wrapping?,"Yes, gift wrapping is available during checkout."
What are your customer support hours?,Support is available from 9 AM to 9 PM IST.
How do I track my order?,Use your order ID to track in the order history page.
What is the return policy?,You can return products within 10 days of delivery.
How long is the warranty?,Warranty is valid for 1 year from the date of purchase.
Do you offer free shipping?,"Yes, we offer free shipping on orders above ₹499."
Can I cancel my order?,"Yes, orders can be cancelled before shipping."
Do you have cash on delivery?,"Yes, COD is available on selected items."
What is the shipping time?,Shipping usually takes 3–5 business days.
Can I change my delivery address?,"Yes, you can update the address before the item is shipped."
Do you offer gift wrapping?,"Yes, gift wrapping is available during checkout."
What are your customer support hours?,Support is available from 9 AM to 9 PM IST.
How do I track my order?,Use your order ID to track in the order history page.
What is the return policy?,You can return products within 10 days of delivery.
How long is the warranty?,Warranty is valid for 1 year from the date of purchase.
Do you offer free shipping?,"Yes, we offer free shipping on orders above ₹499."
Can I cancel my order?,"Yes, orders can be cancelled before shipping."
Do you have cash on delivery?,"Yes, COD is available on selected items."
What is the shipping time?,Shipping usually takes 3–5 business days.
Can I change my delivery address?,"Yes, you can update the address before the item is shipped."
Do you offer gift wrapping?,"Yes, gift wrapping is available during checkout."
What are your customer support hours?,Support is available from 9 AM to 9 PM IST.
How do I track my order?,Use your order ID to track in the order history page.
What is the return policy?,You can return products within 10 days of delivery.
How long is the warranty?,Warranty is valid for 1 year from the date of purchase.
Do you offer free shipping?,"Yes, we offer free shipping on orders above ₹499."
Can I cancel my order?,"Yes, orders can be cancelled before shipping."
Do you have cash on delivery?,"Yes, COD is available on selected items."
What is the shipping time?,Shipping usually takes 3–5 business days.
Can I change my delivery address?,"Yes, you can update the address before the item is shipped."
Do you offer gift wrapping?,"Yes, gift wrapping is available during checkout."
What are your customer support hours?,Support is available from 9 AM to 9 PM IST.
How do I track my order?,Use your order ID to track in the order history page.
What is the return policy?,You can return products within 10 days of delivery.
How long is the warranty?,Warranty is valid for 1 year from the date of purchase.
Do you offer free shipping?,"Yes, we offer free shipping on orders above ₹499."
Can I cancel my order?,"Yes, orders can be cancelled before shipping."
Do you have cash on delivery?,"Yes, COD is available on selected items."
What is the shipping time?,Shipping usually takes 3–5 business days.
Can I change my delivery address?,"Yes, you can update the address before the item is shipped."
Do you offer gift wrapping?,"Yes, gift wrapping is available during checkout."
What are your customer support hours?,Support is available from 9 AM to 9 PM IST.
How do I track my order?,Use your order ID to track in the order history page.
